name_variable	cis_category	description_variable	value_variable	diagnostic	action_cmd
log_error_verbosity	Auditing and Logging	The log_error_verbosity system variable provides additional information to the MySQL log. A value of 1 enables logging of error messages. A value of 2 enables logging of error and warning messages, and a value of 3 enables logging of error, warning and note messages.	3	OK - log_error_verbosity 3 enables logging of error, warning and note messages	no action needed
log_error	Auditing and Logging	The error log contains information about events such as mysqld starting and stopping, when a table needs to be checked or repaired, and, depending on the host operating system, stack traces when mysqld fails.	/var/log/mysql/error.log	OK - log_error is writes the erros log to the file defined	no action needed
audit_log	Auditing and Logging	Password complexity includes password characteristics such as length, case, length, and character sets. This recommendation prevents users from choosing weak passwords which can easily be guessed. 	NULL	NOK - Policies security password is not installed	/* Run script mysqldb_cis_install_audit_log.sql */
datadir	File System Permissions	It is generally accepted that host operating systems should include different filesystem partitions for different purposes.  One set of filesystems are typically called system partitions, and are generally reserved for host system/application operation. The other set of filesystems are typically called non-system partitions, and such locations are generally reserved for storing data.	/var/lib/mysql/	OK_NOK - Check location and access control	set global datadir = '/$path/datafiles/data';
log_bin_basename	File System Permissions	MySQL can operate using a variety of log files, each used for different purposes.  These are the binary log, error log, slow query log, relay log, and general log.  Because these are files on the host operating system, they are subject to the permissions structure provided by the host and may be accessible by users other than the MySQL user.	NULL	OK_NOK - Check location and access control. Choose a location other than /var and/ usr or root	set global log_bin_basename = '/$path/binlogs/mysql_bin';
slow_query_log	File System Permissions	MySQL can operate using a variety of log files, each used for different purposes.  These are the binary log, error log, slow query log, relay log, and general log.  Because these are files on the host operating system, they are subject to the permissions structure provided by the host and may be accessible by users other than the MySQL user	0	OK - slow_query_log is disable	no action needed
slow_query_log_file	File System Permissions	MySQL can operate using a variety of log files, each used for different purposes. These are the binary log, error log, slow query log, relay log, and general log.  Because these are files on the host operating system, they are subject to the permissions structure provided by the host and may be accessible by users other than the MySQL user	/var/lib/mysql/5QZNQX2-slow.log	OK_NOK - Check directory and file access control configured in the variable slow_query_log_file. A safe directory different from the system is recommended.	no action needed
relay_log_basename	File System Permissions	MySQL can operate using a variety of log files, each used for different purposes.  These are the binary log, error log, slow query log, relay log, and general log.  Because these are files on the host operating system, they are subject to the permissions structure provided by the host and may be accessible by users other than the MySQL user	/var/lib/mysql/5QZNQX2-relay-bin	OK_NOK - Check directory and access control configured in the variable relay_log_basename	SET GLOBAL relay_log_basename = '/$path/binlogs/relay_bin';
general_log	File System Permissions	MySQL can operate using a variety of log files, each used for different purposes.  These are the binary log, error log, slow query log, relay log, and general log.  Because these are files on the host operating system, they are subject to the permissions structure provided by the host and may be accessible by users other than the MySQL user	0	OK - general_log is disable. Check access control directory and file defined in general_log_file variable	Check access control directory and file defined in general_log_file variable
general_log_file	File System Permissions	MySQL can operate using a variety of log files, each used for different purposes.  These are the binary log, error log, slow query log, relay log, and general log.  Because these are files on the host operating system, they are subject to the permissions structure provided by the host and may be accessible by users other than the MySQL user	/var/lib/mysql/5QZNQX2.log	OK_NOK - Check directory and access control configured in the variable general_log_file	SET GLOBAL general_log_file = '/$path/logs/mysql_general.log';
